Issue Key,Summary,Issue Type,Epic,Priority,Story Points,Assignee,Sprint,Status,Description,Acceptance Criteria,Notes
BSK-80,Add daily work completion tracking,Story,Wage Calculation,High,5,Khum,Sprint 2,To Do,"Track and display daily work completion for workers","- Daily summary view
- Filter by date
- Show all workers","High priority feature request"
BSK-81,Add wage export to CSV,Story,Wage Calculation,High,3,Khum,Sprint 2,To Do,"Export wage calculation results to CSV file","- Export button
- Include all details
- Proper formatting","Use browser download API"
BSK-82,Add wage export to PDF,Story,Wage Calculation,Medium,5,Sadin,Sprint 3,To Do,"Export wage calculation results to PDF file","- Formatted PDF report
- Company header
- Print-friendly","Use library like jsPDF or react-pdf"
BSK-83,Add wage summary dashboard,Story,Wage Calculation,Medium,5,Khum,Sprint 3,To Do,"Create dashboard showing wage summaries and totals","- Total wages by period
- By department breakdown
- By worker breakdown","Visual charts helpful"
BSK-84,Add bulk wage calculation,Story,Wage Calculation,Low,5,Sadin,Sprint 4,To Do,"Calculate wages for multiple workers at once","- Select multiple workers
- Date range selection
- Combined report","Saves time for payroll"
BSK-90,Add production stats dashboard (Admin),Story,Reporting,High,8,Sadin,Sprint 2,To Do,"Create admin dashboard showing production statistics","- Total pieces produced
- Completion rates
- Department throughput","Main analytics feature"
BSK-91,Add department performance metrics,Story,Reporting,Medium,5,Khum,Sprint 3,To Do,"Show performance metrics for each department","- Throughput rate
- Average time in department
- Bottleneck identification","Helps optimize workflow"
BSK-92,Add batch completion reports,Story,Reporting,Medium,5,Sadin,Sprint 3,To Do,"Generate reports showing batch completion status","- Completion percentage
- Time to complete
- Department breakdown","Useful for management"
BSK-93,Add inventory usage reports,Story,Reporting,Low,5,Khum,Sprint 4,To Do,"Generate reports on inventory consumption","- Usage by item
- Usage over time
- Low stock warnings","Links to inventory module"
BSK-94,Add export all data to CSV,Story,Reporting,Low,5,Sadin,Sprint 4,To Do,"Allow exporting all system data to CSV files","- Export rolls batches sub-batches
- Export workers and logs
- Backup functionality","Useful for data backup"
BSK-100,Replace alert() with toast notifications,Task,User Experience,High,5,Khum,Sprint 1,To Do,"Replace all JavaScript alert() calls with toast notification library","- Install toast library
- Replace all alerts
- Consistent styling","Use react-hot-toast or similar"
BSK-101,Add error boundaries (React),Task,User Experience,High,3,Khum,Sprint 1,To Do,"Add React error boundaries to catch and display errors gracefully","- Error boundary components
- Fallback UI
- Error logging","Prevents white screen of death"
BSK-102,Add loading skeletons,Task,User Experience,Medium,3,Khum,Sprint 2,To Do,"Add skeleton loading states for better UX during data fetching","- Skeleton components
- Apply to main views
- Smooth transitions","Better than spinner for tables"
BSK-103,Add empty state illustrations,Task,User Experience,Low,2,Khum,Sprint 3,To Do,"Add illustrations and helpful text for empty states","- Empty table states
- No results found
- First-time user guidance","Improves user experience"
BSK-104,Accessibility audit and fixes,Task,User Experience,Low,5,Khum,Sprint 5,To Do,"Audit and fix accessibility issues","- Keyboard navigation
- Screen reader support
- Color contrast","Use axe or Lighthouse audit"
BSK-110,Migrate JWT from localStorage to httpOnly cookies,Task,User Management,Medium,8,Sadin,Sprint 3,To Do,"Move JWT token storage from localStorage to httpOnly cookies for security","- Backend sets httpOnly cookie
- Frontend removes localStorage
- CSRF protection added","Security improvement - prevents XSS token theft"
BSK-111,Add password reset functionality,Story,User Management,Medium,5,Sadin,Sprint 3,To Do,"Allow users to reset forgotten passwords","- Forgot password link
- Email with reset link
- Reset form","Requires email service setup"
BSK-112,Add supervisor department reassignment,Story,User Management,Low,3,Khum,Sprint 4,To Do,"Allow admins to reassign supervisors to different departments","- Edit supervisor form
- Department dropdown
- Validation","Admin-only feature"
BSK-113,Add audit log for user actions,Story,User Management,Low,8,Sadin,Sprint 5,To Do,"Log all important user actions for audit trail","- Log login/logout
- Log CRUD operations
- View audit log","Security and compliance feature"
BSK-120,Add low stock alerts,Story,Inventory,Medium,3,Khum,Sprint 3,To Do,"Show alerts when inventory items are running low","- Set minimum threshold
- Visual warning
- Dashboard notification","Prevents running out of supplies"
BSK-121,Add inventory search/filter,Story,Inventory,Medium,3,Khum,Sprint 2,To Do,"Add search and filter to inventory view","- Search by name
- Filter by category
- Filter by vendor","Add to Inventory.tsx"
BSK-122,Add inventory import from CSV,Story,Inventory,Low,5,Khum,Sprint 5,To Do,"Allow bulk importing inventory items from CSV","- Upload CSV
- Validate data
- Show results","Useful for initial setup"
